Id,PID,MS SubClass,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Exposure,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,SalePrice,TotalSF,Total_full_bath,Total_half_bath,garage_yrblt_rel,remod_yr_rel,ExterQualCond,BsmtQualCond,GarageQualCond,BasmtFinSF_type1,BasmtFinSF_type2,MS Zoning_0,MS Zoning_1,MS Zoning_2,MS Zoning_3,MS Zoning_4,MS Zoning_5,MS Zoning_6,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,Neighborhood_6,Neighborhood_7,Neighborhood_8,Neighborhood_9,Neighborhood_10,Neighborhood_11,Neighborhood_12,Neighborhood_13,Neighborhood_14,Neighborhood_15,Neighborhood_16,Neighborhood_17,Neighborhood_18,Neighborhood_19,Neighborhood_20,Neighborhood_21,Neighborhood_22,Neighborhood_23,Neighborhood_24,Neighborhood_25,Neighborhood_26,Neighborhood_27,Sale Type_0,Sale Type_1,Sale Type_2,Sale Type_3,Sale Type_4,Sale Type_5,Sale Type_6,Sale Type_7,Sale Type_8,Sale Type_9
1044,527451290,160,1680,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,CBlock,No,96.0,GasA,3,Y,SBrkr,0,6.894670039433483,2,1,3,8,0,0,Detchd,Unf,1.0,Y,0,0,0,0,0,0,None,None,None,0,7,2008,11.35510137977666,1470.0,1.0,1.0,0.0,0,9,9,9,1935.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2752,906380150,20,7488,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,815.0,GasA,5,Y,SBrkr,0,7.0967213784947605,2,1,4,8,0,0,Attchd,RFn,2.0,Y,105,58,0,0,0,0,None,None,None,0,2,2006,12.120514757168527,2416.0,2.0,0.0,0.0,0,12,12,9,2358.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
807,906226060,70,26400,Pave,None,Reg,Bnk,4,FR2,Gtl,Feedr,Norm,1Fam,2Story,5,7,1880,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,None,0.0,GasA,5,Y,SBrkr,0,7.6088706291912604,4,1,3,5,1,3,Attchd,Unf,2.0,P,0,0,0,0,0,0,None,None,None,0,6,2009,11.782952602183288,2016.0,1.0,0.0,1.0,1,12,0,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1177,533236070,160,2645,Pave,Pave,Reg,Lvl,4,Inside,Gtl,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,PConc,No,147.0,GasA,5,Y,SBrkr,0,7.382124365737512,3,1,4,8,0,0,Detchd,Unf,2.0,Y,169,0,0,0,0,0,None,None,None,0,12,2008,12.206072645530176,2567.0,3.0,1.0,1.0,1,12,12,9,4878.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1480,907418040,20,9627,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,1327.0,GasA,5,Y,SBrkr,0,7.215975002651466,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,50,0,0,0,0,None,None,None,0,6,2008,12.170445467887022,2712.0,2.0,0.0,0.0,0,12,12,9,144.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
324,923202105,20,10114,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,1430.0,GasA,5,Y,SBrkr,0,7.265429723253952,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,0,0,0,0,0,None,None,None,0,3,2010,12.063932878369052,2860.0,2.0,0.0,0.0,1,9,15,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1311,902301140,70,4571,Pave,Grvl,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,AsbShng,None,0.0,BrkTil,No,624.0,GasA,2,N,SBrkr,0,7.203405521083095,4,1,3,8,0,0,Detchd,Unf,3.0,Y,0,0,96,0,0,0,None,None,None,0,5,2008,11.492722757652713,1968.0,1.0,0.0,0.0,1,9,9,4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
770,905101490,20,8816,Pave,None,Reg,Lvl,4,Corner,Gtl,Feedr,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,470.0,GasA,3,Y,SBrkr,0,7.021976423072161,3,1,3,8,0,0,Detchd,Unf,2.0,Y,0,80,0,0,0,0,None,MnPrv,None,0,6,2009,11.842229212112827,2242.0,2.0,0.0,0.0,0,9,9,9,1953.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2063,905107140,20,8197,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,CBlock,No,660.0,GasA,5,Y,SBrkr,0,7.158513997329321,3,1,3,8,1,3,Attchd,RFn,2.0,Y,138,0,0,0,0,0,None,MnPrv,None,0,4,2007,11.874090314181814,1945.0,1.0,1.0,0.0,0,9,9,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,528458070,60,8640,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Mn,732.0,GasA,5,Y,SBrkr,0,7.344072850573067,3,1,4,8,0,0,Attchd,Unf,2.0,Y,169,45,0,0,0,0,None,None,None,0,6,2010,12.279323107269766,2303.0,2.0,1.0,0.0,0,9,12,9,144.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2062,905106150,20,8724,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,402.0,GasA,4,Y,SBrkr,0,6.795705775173514,3,1,3,8,1,1,Attchd,Fin,2.0,Y,0,0,0,0,0,0,None,None,None,0,5,2007,11.767567683343811,1788.0,1.0,0.0,0.0,0,9,12,9,1968.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
351,527131030,120,5664,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,No,343.0,GasA,5,Y,SBrkr,0,7.413970290190443,2,1,5,8,1,5,Attchd,Fin,2.0,Y,212,59,0,0,0,0,None,None,None,0,10,2009,12.535376392672775,3160.0,3.0,0.0,0.0,0,12,12,9,6948.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2393,528142010,60,12867,Pave,None,IR1,Lvl,4,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,Av,1209.0,GasA,5,Y,SBrkr,0,7.720017940432244,3,1,5,8,1,4,Attchd,Fin,2.0,Y,243,142,0,0,0,0,None,None,None,0,7,2006,12.748783489541204,3462.0,2.0,1.0,0.0,1,12,15,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,527165230,20,7980,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,6,7,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,No,233.0,GasA,5,Y,SBrkr,0,7.079184394609668,3,1,3,8,0,0,Attchd,Fin,2.0,Y,483,21,0,0,0,0,None,GdPrv,Shed,500,3,2010,12.128111104060464,2355.0,3.0,0.0,0.0,1,12,12,9,4675.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2339,527250040,190,34650,Pave,None,Reg,Bnk,4,Inside,Gtl,Norm,Norm,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Mn,0.0,GasA,3,N,SBrkr,0,6.962243464266208,3,1,3,8,0,0,Attchd,Fin,2.0,Y,264,0,0,0,0,0,None,None,None,0,1,2006,11.884489021402711,2112.0,2.0,0.0,0.0,0,9,9,9,3168.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
624,535104120,20,10573,Pave,None,IR1,Lvl,4,Corner,Gtl,Norm,Norm,1Fam,1Story,6,6,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,CBlock,No,141.0,GasA,5,Y,SBrkr,0,7.281385663570282,3,1,3,8,1,3,Attchd,RFn,2.0,Y,0,49,0,0,288,0,None,GdPrv,None,0,4,2009,12.141534124392605,2906.0,3.0,0.0,0.0,0,9,9,9,3936.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,532376160,20,8450,Pave,None,Reg,Lvl,4,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,8,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,224.0,GasA,5,Y,SBrkr,0,6.795705775173514,3,1,3,8,1,4,Detchd,Unf,1.0,Y,416,144,0,0,0,0,None,MnPrv,None,0,4,2010,11.83862560460953,1788.0,2.0,0.0,1.0,1,12,9,9,3318.0,468.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1534,909277040,50,11700,Pave,Grvl,IR1,HLS,4,Inside,Mod,Norm,Norm,1Fam,1.5Fin,5,6,1937,Gable,CompShg,WdShing,Wd Shng,None,0.0,CBlock,No,336.0,GasA,5,Y,SBrkr,0,7.569411792450713,4,1,4,6,1,4,Detchd,Unf,1.0,Y,0,40,0,0,0,0,None,None,None,0,7,2008,12.196022309676671,2880.0,2.0,0.0,0.0,1,9,9,9,2424.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2243,911103060,190,8250,Pave,None,Reg,Lvl,4,Inside,Gtl,Feedr,Norm,2fmCon,2Story,5,6,1895,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,957.0,GasA,2,N,SBrkr,0,7.596392304064197,4,2,3,8,0,0,None,None,0.0,N,0,0,133,0,0,0,None,None,None,0,6,2007,11.691908120498669,2948.0,2.0,0.0,0.0,1,12,9,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1957,535450190,50,8064,Pave,None,Reg,Lvl,4,Corner,Gtl,Artery,Norm,1Fam,1.5Fin,5,7,1949,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,Mn,672.0,GasA,5,Y,SBrkr,0,6.828712071641683,3,1,3,8,1,1,Detchd,Unf,2.0,Y,0,0,0,0,0,0,None,MnPrv,Shed,2000,7,2007,11.719126295554124,1596.0,1.0,0.0,1.0,1,12,9,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
380,527355150,20,9600,Pave,None,Reg,Lvl,4,Inside,Gtl,PosN,Norm,1Fam,1Story,8,5,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,PConc,No,1420.0,GasA,3,Y,SBrkr,0,7.833600223661103,4,1,4,8,1,4,Attchd,Fin,2.0,Y,474,120,0,0,0,0,None,MnPrv,None,0,7,2009,12.535376392672775,5048.0,3.0,1.0,0.0,0,12,12,9,5520.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2860,909276010,70,11435,Pave,None,IR1,HLS,4,Corner,Mod,Norm,Norm,1Fam,2Story,8,7,1929,Gable,CompShg,BrkFace,Stucco,None,0.0,PConc,No,792.0,GasA,2,Y,SBrkr,0,7.324489979348532,3,1,4,8,2,4,Detchd,Unf,2.0,Y,0,0,0,0,0,0,None,None,None,0,6,2006,12.345834587905333,2309.0,1.0,0.0,1.0,1,9,12,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2517,533250130,120,9549,Pave,None,IR1,Lvl,4,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1995,Hip,CompShg,BrkFace,BrkFace,None,0.0,PConc,Av,0.0,GasA,5,Y,SBrkr,0,7.309212365692762,2,1,5,8,1,4,Attchd,Fin,2.0,Y,0,30,0,0,216,0,None,None,None,0,4,2006,12.506177237980511,2988.0,2.0,1.0,0.0,1,16,16,9,874.0,6342.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1933,535302070,20,10950,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,507.0,GasA,3,Y,SBrkr,0,6.854354502255021,2,1,3,8,0,0,Detchd,Unf,2.0,N,0,48,0,0,0,0,None,None,None,0,4,2007,11.736069016284436,1896.0,1.0,0.0,0.0,0,9,9,9,2205.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
820,906340110,20,10637,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,PConc,Gd,417.0,GasA,5,Y,SBrkr,0,7.4489161025442,3,1,4,8,1,4,Attchd,RFn,3.0,Y,208,44,0,0,0,0,None,None,None,0,9,2009,12.601487417784837,3423.0,3.0,0.0,0.0,1,12,15,9,7728.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
675,535426150,20,9000,Pave,None,IR1,HLS,4,Inside,Mod,Norm,Norm,1Fam,1Story,6,6,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,CBlock,Gd,160.0,GasA,2,Y,SBrkr,0,7.040536390215956,2,1,3,8,1,4,Basment,RFn,1.0,Y,0,28,64,0,0,0,None,None,None,0,4,2009,11.639558115903597,1302.0,1.0,0.0,0.0,0,9,12,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2910,923225240,160,2665,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,TwnhsE,2Story,5,6,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,No,36.0,GasA,5,Y,SBrkr,0,7.296413268773919,4,1,3,8,1,3,Attchd,RFn,1.0,Y,104,26,0,0,0,0,None,None,None,0,7,2006,11.751942365440726,2232.0,2.0,0.0,0.0,0,9,9,9,2740.0,519.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,527358140,20,11751,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,CBlock,No,1139.0,GasA,5,Y,SBrkr,0,7.5196924041165385,3,1,3,8,1,3,Attchd,RFn,2.0,Y,0,122,0,0,0,0,None,MnPrv,None,0,1,2010,12.154779351142626,3688.0,2.0,0.0,0.0,0,9,12,9,2820.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1873,534177210,20,9600,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,7,6,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,CBlock,No,326.0,GasA,2,Y,SBrkr,0,7.124478262493424,3,1,3,8,1,3,Attchd,Unf,2.0,Y,0,0,0,0,0,0,None,None,None,0,9,2007,12.075394321888055,2484.0,1.0,1.0,0.0,0,9,9,9,4580.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
