Id,PID,MS SubClass,MS Zoning,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Exposure,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,data_origin,TotalSF,Total_full_bath,Total_half_bath,garage_yrblt_rel,remod_yr_rel,ExterQualCond,BsmtQualCond,GarageQualCond,BasmtFinSF_type1,BasmtFinSF_type2
1044,527451290,160,RM,1680,Pave,None,Reg,Lvl,4,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,CBlock,No,96.0,GasA,3,Y,SBrkr,0,6.894670039433482,2,1,3,8,0,0,Detchd,Unf,1.0,Y,0,0,0,0,0,0,None,None,None,0,7,2008,COD,11.355101379776661,train,1470.0,1.0,1.0,0.0,0,9,9,9,1935.0,0.0
2752,906380150,20,RL,7488,Pave,None,IR1,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,815.0,GasA,5,Y,SBrkr,0,7.0967213784947605,2,1,4,8,0,0,Attchd,RFn,2.0,Y,105,58,0,0,0,0,None,None,None,0,2,2006,WD ,12.120514757168527,train,2416.0,2.0,0.0,0.0,0,12,12,9,2358.0,0.0
807,906226060,70,RL,26400,Pave,None,Reg,Bnk,4,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,None,0.0,GasA,5,Y,SBrkr,0,7.60887062919126,4,1,3,5,1,3,Attchd,Unf,2.0,P,0,0,0,0,0,0,None,None,None,0,6,2009,WD ,11.782952602183288,train,2016.0,1.0,0.0,1.0,1,12,0,9,0.0,0.0
1177,533236070,160,FV,2645,Pave,Pave,Reg,Lvl,4,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,PConc,No,147.0,GasA,5,Y,SBrkr,0,7.382124365737512,3,1,4,8,0,0,Detchd,Unf,2.0,Y,169,0,0,0,0,0,None,None,None,0,12,2008,ConLD,12.206072645530174,train,2567.0,3.0,1.0,1.0,1,12,12,9,4878.0,0.0
1480,907418040,20,RL,9627,Pave,None,Reg,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,1327.0,GasA,5,Y,SBrkr,0,7.215975002651466,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,50,0,0,0,0,None,None,None,0,6,2008,WD ,12.170445467887022,train,2712.0,2.0,0.0,0.0,0,12,12,9,144.0,0.0
324,923202105,20,RL,10114,Pave,None,Reg,Lvl,4,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,1430.0,GasA,5,Y,SBrkr,0,7.265429723253953,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,12.063932878369052,train,2860.0,2.0,0.0,0.0,1,9,15,9,0.0,0.0
1311,902301140,70,RM,4571,Pave,Grvl,Reg,Lvl,4,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,AsbShng,None,0.0,BrkTil,No,624.0,GasA,2,N,SBrkr,0,7.203405521083095,4,1,3,8,0,0,Detchd,Unf,3.0,Y,0,0,96,0,0,0,None,None,None,0,5,2008,COD,11.49272275765271,train,1968.0,1.0,0.0,0.0,1,9,9,4,0.0,0.0
770,905101490,20,RL,8816,Pave,None,Reg,Lvl,4,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,470.0,GasA,3,Y,SBrkr,0,7.02197642307216,3,1,3,8,0,0,Detchd,Unf,2.0,Y,0,80,0,0,0,0,None,MnPrv,None,0,6,2009,WD ,11.842229212112828,train,2242.0,2.0,0.0,0.0,0,9,9,9,1953.0,0.0
2063,905107140,20,RL,8197,Pave,None,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,CBlock,No,660.0,GasA,5,Y,SBrkr,0,7.158513997329321,3,1,3,8,1,3,Attchd,RFn,2.0,Y,138,0,0,0,0,0,None,MnPrv,None,0,4,2007,WD ,11.874090314181814,train,1945.0,1.0,1.0,0.0,0,9,9,9,0.0,0.0
69,528458070,60,FV,8640,Pave,None,Reg,Lvl,4,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Mn,732.0,GasA,5,Y,SBrkr,0,7.344072850573066,3,1,4,8,0,0,Attchd,Unf,2.0,Y,169,45,0,0,0,0,None,None,None,0,6,2010,Con,12.279323107269766,train,2303.0,2.0,1.0,0.0,0,9,12,9,144.0,0.0
2062,905106150,20,RL,8724,Pave,None,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,402.0,GasA,4,Y,SBrkr,0,6.795705775173514,3,1,3,8,1,1,Attchd,Fin,2.0,Y,0,0,0,0,0,0,None,None,None,0,5,2007,WD ,11.76756768334381,train,1788.0,1.0,0.0,0.0,0,9,12,9,1968.0,0.0
351,527131030,120,RL,5664,Pave,None,IR1,Lvl,4,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,No,343.0,GasA,5,Y,SBrkr,0,7.413970290190444,2,1,5,8,1,5,Attchd,Fin,2.0,Y,212,59,0,0,0,0,None,None,None,0,10,2009,WD ,12.535376392672774,train,3160.0,3.0,0.0,0.0,0,12,12,9,6948.0,0.0
2393,528142010,60,RL,12867,Pave,None,IR1,Lvl,4,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,Av,1209.0,GasA,5,Y,SBrkr,0,7.720017940432244,3,1,5,8,1,4,Attchd,Fin,2.0,Y,243,142,0,0,0,0,None,None,None,0,7,2006,New,12.748783489541202,train,3462.0,2.0,1.0,0.0,1,12,15,9,0.0,0.0
12,527165230,20,RL,7980,Pave,None,IR1,Lvl,4,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,No,233.0,GasA,5,Y,SBrkr,0,7.079184394609668,3,1,3,8,0,0,Attchd,Fin,2.0,Y,483,21,0,0,0,0,None,GdPrv,Shed,500,3,2010,WD ,12.128111104060462,train,2355.0,3.0,0.0,0.0,1,12,12,9,4675.0,0.0
2339,527250040,190,RL,34650,Pave,None,Reg,Bnk,4,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Mn,0.0,GasA,3,N,SBrkr,0,6.962243464266207,3,1,3,8,0,0,Attchd,Fin,2.0,Y,264,0,0,0,0,0,None,None,None,0,1,2006,WD ,11.884489021402711,train,2112.0,2.0,0.0,0.0,0,9,9,9,3168.0,0.0
624,535104120,20,RL,10573,Pave,None,IR1,Lvl,4,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,CBlock,No,141.0,GasA,5,Y,SBrkr,0,7.2813856635702825,3,1,3,8,1,3,Attchd,RFn,2.0,Y,0,49,0,0,288,0,None,GdPrv,None,0,4,2009,WD ,12.141534124392603,train,2906.0,3.0,0.0,0.0,0,9,9,9,3936.0,0.0
86,532376160,20,RL,8450,Pave,None,Reg,Lvl,4,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,224.0,GasA,5,Y,SBrkr,0,6.795705775173514,3,1,3,8,1,4,Detchd,Unf,1.0,Y,416,144,0,0,0,0,None,MnPrv,None,0,4,2010,WD ,11.83862560460953,train,1788.0,2.0,0.0,1.0,1,12,9,9,3318.0,468.0
1534,909277040,50,RL,11700,Pave,Grvl,IR1,HLS,4,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,Gable,CompShg,WdShing,Wd Shng,None,0.0,CBlock,No,336.0,GasA,5,Y,SBrkr,0,7.569411792450712,4,1,4,6,1,4,Detchd,Unf,1.0,Y,0,40,0,0,0,0,None,None,None,0,7,2008,WD ,12.196022309676673,train,2880.0,2.0,0.0,0.0,1,9,9,9,2424.0,0.0
2243,911103060,190,C (all),8250,Pave,None,Reg,Lvl,4,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,957.0,GasA,2,N,SBrkr,0,7.596392304064196,4,2,3,8,0,0,None,None,0.0,N,0,0,133,0,0,0,None,None,None,0,6,2007,WD ,11.691908120498669,train,2948.0,2.0,0.0,0.0,1,12,9,0,0.0,0.0
1957,535450190,50,RL,8064,Pave,None,Reg,Lvl,4,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,Mn,672.0,GasA,5,Y,SBrkr,0,6.828712071641684,3,1,3,8,1,1,Detchd,Unf,2.0,Y,0,0,0,0,0,0,None,MnPrv,Shed,2000,7,2007,WD ,11.719126295554126,train,1596.0,1.0,0.0,1.0,1,12,9,9,0.0,0.0
380,527355150,20,RL,9600,Pave,None,Reg,Lvl,4,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,PConc,No,1420.0,GasA,3,Y,SBrkr,0,7.8336002236611035,4,1,4,8,1,4,Attchd,Fin,2.0,Y,474,120,0,0,0,0,None,MnPrv,None,0,7,2009,WD ,12.535376392672774,train,5048.0,3.0,1.0,0.0,0,12,12,9,5520.0,0.0
2860,909276010,70,RL,11435,Pave,None,IR1,HLS,4,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,Gable,CompShg,BrkFace,Stucco,None,0.0,PConc,No,792.0,GasA,2,Y,SBrkr,0,7.324489979348532,3,1,4,8,2,4,Detchd,Unf,2.0,Y,0,0,0,0,0,0,None,None,None,0,6,2006,WD ,12.345834587905333,train,2309.0,1.0,0.0,1.0,1,9,12,9,0.0,0.0
2517,533250130,120,RL,9549,Pave,None,IR1,Lvl,4,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,Hip,CompShg,BrkFace,BrkFace,None,0.0,PConc,Av,0.0,GasA,5,Y,SBrkr,0,7.309212365692763,2,1,5,8,1,4,Attchd,Fin,2.0,Y,0,30,0,0,216,0,None,None,None,0,4,2006,WD ,12.506177237980511,train,2988.0,2.0,1.0,0.0,1,16,16,9,874.0,6342.0
1933,535302070,20,RL,10950,Pave,None,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,507.0,GasA,3,Y,SBrkr,0,6.854354502255021,2,1,3,8,0,0,Detchd,Unf,2.0,N,0,48,0,0,0,0,None,None,None,0,4,2007,WD ,11.736069016284437,train,1896.0,1.0,0.0,0.0,0,9,9,9,2205.0,0.0
820,906340110,20,RL,10637,Pave,None,Reg,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,PConc,Gd,417.0,GasA,5,Y,SBrkr,0,7.4489161025442,3,1,4,8,1,4,Attchd,RFn,3.0,Y,208,44,0,0,0,0,None,None,None,0,9,2009,WD ,12.601487417784837,train,3423.0,3.0,0.0,0.0,1,12,15,9,7728.0,0.0
675,535426150,20,RL,9000,Pave,None,IR1,HLS,4,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,CBlock,Gd,160.0,GasA,2,Y,SBrkr,0,7.040536390215956,2,1,3,8,1,4,Basment,RFn,1.0,Y,0,28,64,0,0,0,None,None,None,0,4,2009,WD ,11.639558115903595,train,1302.0,1.0,0.0,0.0,0,9,12,9,0.0,0.0
2910,923225240,160,RM,2665,Pave,None,Reg,Lvl,4,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,No,36.0,GasA,5,Y,SBrkr,0,7.29641326877392,4,1,3,8,1,3,Attchd,RFn,1.0,Y,104,26,0,0,0,0,None,None,None,0,7,2006,WD ,11.751942365440728,train,2232.0,2.0,0.0,0.0,0,9,9,9,2740.0,519.0
21,527358140,20,RL,11751,Pave,None,IR1,Lvl,4,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,CBlock,No,1139.0,GasA,5,Y,SBrkr,0,7.519692404116539,3,1,3,8,1,3,Attchd,RFn,2.0,Y,0,122,0,0,0,0,None,MnPrv,None,0,1,2010,COD,12.154779351142624,train,3688.0,2.0,0.0,0.0,0,9,12,9,2820.0,0.0
1873,534177210,20,RL,9600,Pave,None,Reg,Lvl,4,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,CBlock,No,326.0,GasA,2,Y,SBrkr,0,7.124478262493424,3,1,3,8,1,3,Attchd,Unf,2.0,Y,0,0,0,0,0,0,None,None,None,0,9,2007,WD ,12.075394321888057,train,2484.0,1.0,1.0,0.0,0,9,9,9,4580.0,0.0
2125,907135050,20,RL,8428,Pave,None,IR2,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,570.0,GasA,5,Y,SBrkr,0,6.897704943128636,3,1,3,8,0,0,Detchd,Unf,1.0,Y,256,0,0,0,0,0,None,None,None,0,7,2007,WD ,11.891361900690473,train,1980.0,2.0,0.0,1.0,0,12,16,9,2520.0,0.0
1489,908102260,20,RL,9937,Pave,None,Reg,Lvl,4,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,136.0,GasA,4,Y,SBrkr,0,7.135687347028144,3,1,3,8,0,0,Attchd,Fin,1.0,Y,736,68,0,0,0,0,None,None,None,0,6,2008,WD ,11.901583454762012,train,2512.0,2.0,1.0,0.0,0,12,9,9,3320.0,580.0
2383,528110050,20,RL,13891,Pave,None,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Gd,690.0,GasA,5,Y,SBrkr,0,7.638198244285779,2,1,5,8,1,4,Attchd,Fin,3.0,Y,216,229,0,0,0,0,None,None,None,0,9,2006,New,13.049792684569493,train,4152.0,3.0,1.0,0.0,0,15,20,9,8316.0,0.0
983,923275040,85,RL,9101,Pave,None,IR1,Lvl,4,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,PConc,Av,0.0,GasA,5,Y,SBrkr,0,7.01211529430638,1,1,4,8,1,3,Attchd,Fin,2.0,Y,303,30,0,0,0,0,None,None,None,0,7,2009,WD ,12.016726473799254,train,2207.0,2.0,0.0,0.0,0,12,12,9,6582.0,0.0
1325,902406090,50,RM,12150,Pave,Grvl,Reg,Lvl,4,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,BrkTil,No,1050.0,GasA,5,N,FuseF,0,7.492760300922379,4,1,3,8,0,0,Attchd,Unf,1.0,Y,0,0,0,0,0,0,None,None,None,0,11,2008,WD ,11.786762130599957,train,2845.0,2.0,0.0,0.0,0,9,9,6,0.0,0.0
1378,905102170,20,RL,11200,Pave,None,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,134.0,GasA,5,Y,SBrkr,0,6.946975992135418,3,1,3,8,0,0,Detchd,Unf,1.0,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD ,11.771436160121729,train,2080.0,2.0,0.0,0.0,0,9,9,9,2718.0,0.0
1537,909281110,70,RL,9670,Pave,None,IR1,HLS,4,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,Gable,CompShg,BrkFace,Stucco,Stone,40.0,PConc,No,398.0,GasA,3,Y,SBrkr,0,7.5352967024440884,4,1,3,8,2,4,Detchd,Fin,2.0,Y,0,0,207,0,0,0,None,None,None,0,6,2008,WD ,12.45712704000522,train,2481.0,1.0,1.0,0.0,1,9,6,6,420.0,0.0
905,909101140,50,RL,10998,Pave,Grvl,Reg,Lvl,4,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,156.0,GasA,5,Y,SBrkr,0,7.38025578842646,3,1,3,6,0,0,Detchd,Unf,2.0,Y,0,68,0,0,0,0,None,None,None,0,7,2009,WD ,11.669929213779893,train,2588.0,2.0,0.0,1.0,1,9,9,9,816.0,1680.0
1532,909275050,70,RL,7200,Pave,None,Reg,HLS,4,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,Gable,CompShg,Stucco,Wd Shng,None,0.0,BrkTil,No,776.0,GasA,3,Y,SBrkr,0,7.31455283232408,3,1,3,8,1,4,Attchd,RFn,1.0,P,0,0,112,0,0,0,None,MnPrv,None,0,2,2008,WD ,11.911701584927597,train,2278.0,1.0,1.0,0.0,1,6,12,9,0.0,0.0
132,534475100,20,RL,9920,Pave,None,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,CBlock,No,412.0,GasA,3,Y,SBrkr,0,6.968850378341948,3,1,3,8,0,0,Attchd,RFn,1.0,Y,0,0,164,0,0,0,None,MnPrv,None,0,2,2010,WD ,11.759785542901755,train,2119.0,2.0,0.0,0.0,0,9,9,9,1062.0,580.0
1078,528188090,160,RL,2448,Pave,None,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,PConc,No,764.0,GasA,5,Y,SBrkr,0,7.3938782901077555,2,1,4,8,0,0,BuiltIn,RFn,2.0,Y,0,27,0,0,0,0,None,None,None,0,10,2008,WD ,11.951180395901384,train,2390.0,2.0,1.0,0.0,1,12,12,9,0.0,0.0
2511,533221080,160,FV,2998,Pave,None,Reg,Lvl,4,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,PConc,No,403.0,GasA,5,Y,SBrkr,0,7.329093736246592,2,1,4,8,0,0,Detchd,Unf,2.0,Y,0,32,0,0,0,0,None,None,None,0,6,2006,WD ,12.01974306733868,train,2280.0,2.0,1.0,0.0,0,12,12,9,2118.0,0.0
912,909250220,50,RL,7804,Pave,None,Reg,Lvl,4,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,Gable,CompShg,WdShing,Plywood,None,0.0,BrkTil,No,500.0,GasA,3,Y,SBrkr,0,7.591357046698551,4,1,4,6,2,3,Detchd,Unf,2.0,Y,431,44,0,0,0,0,None,MnPrv,None,0,12,2009,WD ,11.813030057420567,train,3103.0,3.0,0.0,1.0,1,9,9,9,2488.0,0.0
2351,527356020,60,RL,16692,Pave,None,IR1,Lvl,4,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,CBlock,No,133.0,GasA,3,Y,SBrkr,0,7.931644021454311,5,1,4,8,2,3,Attchd,RFn,2.0,Y,0,112,0,0,440,519,Fa,MnPrv,TenC,2000,7,2006,WD ,12.429216196844383,train,4176.0,4.0,1.0,0.0,0,9,12,9,3160.0,938.0
330,923226250,160,RM,1476,Pave,None,Reg,Lvl,4,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,CBlock,No,370.0,GasA,5,Y,SBrkr,0,6.9957661563048505,3,1,3,8,0,0,None,None,0.0,Y,200,26,0,0,0,0,None,None,None,0,3,2010,WD ,11.238488619268468,train,1638.0,1.0,1.0,0.0,0,9,9,0,1056.0,0.0
